id,iBM,kMB,kNB,lambdaM,lambdaN,muA,muB,muM,muN,sAM,sBN,vNM
3267,-0.18605139883711208,-0.9831380007984661,2.4266987104773063,2.716288177186105,14.709823296608244,41.66754759986114,3.1244450006487554,-0.021054349172719363,-0.7215464389163263,18.322079130338913,1.6559559576339293,-0.8101156928923331
3268,-0.21179404418525363,-0.9878835457938726,2.3941328101120316,2.925686344294147,14.879246719648492,39.63558762203358,3.2638159763655064,-0.02895001748689769,-0.8144371892732388,18.085293813176833,1.753221800088109,-0.811582968101301
3269,-0.34952537829790764,-0.997260950049319,2.0210142562725806,2.8431633020542835,15.562072734952682,44.98721090106135,3.1914007175253243,-0.05554848941680347,-0.49225517465504715,21.88181701907162,1.3082268824375356,-0.8604876443154336
3270,-0.2946803041666299,-0.9830527811416531,2.184092054961928,2.6757115305302386,15.434949067777362,44.60393058431184,3.172944557320646,-0.04674983737054514,-0.48491457539653493,20.59023298006531,1.397326823336772,-0.8705646854865173
3271,-0.1802663646524612,-0.9839284692054943,2.4614076697342275,2.6903303446653304,14.904285869323722,40.99845365463053,3.161299748064732,-0.023353931012550753,-0.7360672119754534,18.2622150347001,1.6513673157364859,-0.8109957834675313
3272,-0.16653506871025542,-0.9825374291495322,2.4873872357309086,2.58371889653354,14.997673076741048,41.04277700179011,3.1181910494322973,-0.020370439427227303,-0.7061313668301894,18.30244335497718,1.5767723120302617,-0.8042310454664549
3273,-0.2448171427241517,-0.9843029556155442,2.24710941606283,2.918771806201644,14.501426926979736,44.092170539203664,3.072887383648866,-0.022159050825438863,-0.692328050597818,19.426876086146926,1.682771749354926,-0.834636358404127
3274,-0.1587267631735438,-0.9799479611114514,2.4977183416472024,2.791488174471462,14.448509009504471,40.5432140891905,3.147968609618407,-0.0148316387925091,-0.8101368899618459,17.34852992072071,1.8090160730977756,-0.8026909474291514
3275,-0.23009255743777063,-0.9904347380980068,2.3321469652077322,2.930585792978609,14.650127913012993,41.0591100193584,3.2316341971902274,-0.03148489404516049,-0.7573320894278008,18.502093751574908,1.7158018688965606,-0.8137708479274035
3276,-0.16746358814437,-0.9904913369342505,2.5695506481323522,3.006367084892995,14.587182138831517,36.81831051206392,3.403252665154504,-0.02727838055924302,-0.9500070116669784,16.363179692657823,1.9572413609213897,-0.791225453592771
